RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3A,Q3B,Q4,Q5A,Q5B,Q6A,Q6B,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q10A,Q10B,Q10C,Q11,Q11OTHER,Q12,Q12OTHER,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q27,Q28,Q28B_NIG,Q28C_NIG,Q29A,Q29B,Q29C,Q30A,Q30B,Q30C,Q30D,Q31A,Q31B,Q31C,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46A,Q46B,Q46C,Q46D,Q47A,Q47B,Q47C,Q47D,Q47E,Q48A,Q48B,Q48C,Q49,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q53,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q57,Q58,Q59A,Q59B,Q59C,Q59D,Q59E,Q59F,Q59G,Q59H,Q59I,Q59J,Q59K_NIG,Q60A,Q60B,Q60C,Q60D,Q60E,Q60F,Q60G,Q60H_NIG,Q60I_NIG,Q60J_NIG,Q61A,Q61B,Q61C,Q61D,Q61E,Q61F,Q62A,Q62B,Q63PT1,Q63PT1OTHER,Q63PT2,Q63PT2OTHER,Q63PT3,Q63PT3OTHER,Q64,Q65A,Q65B,Q65C,Q65D,Q65E,Q65F,Q65G,Q65H,Q65I,Q65J,Q65K,Q65L,Q65M,Q65N,Q65O,Q65P,Q65P_NIG,Q66A,Q66B,Q66C,Q66D,Q66E,Q67A,Q67B,Q67C,Q67D,Q67E,Q68A,Q68B,Q68C,Q68D,Q68E,Q68F,Q69A,Q69B,Q69C,Q69D,Q69E,Q69F,Q70A,Q70B,Q70C,Q71A,Q71B,Q71C,Q71D_NIG,Q72A,Q72B,Q72C,Q72D_NIG,Q73A,Q73B,Q73C,Q73D,Q73E,Q74,Q75A,Q75B,Q75C,Q76A,Q76B,Q77,Q77OTHER,Q78,Q78A1,Q79A_NIG,Q79B_NIG,Q79D_NIG,Q79E_NIG,Q80A_NIG,Q80B_NIG,Q80C_NIG,Q81A_NIG,Q81B_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q82D_NIG,Q82E_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q84,Q84OTHER,Q85A,Q85B,Q85C,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87,Q88A,Q88B,Q88C,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q91A,Q91B,Q92,Q93A,Q93B,Q93C,Q94,Q95A,Q95B,Q96,Q97,Q98A,Q98AOTHER,Q98A1_NIG,Q98B,Q99,Q99OTHER,Q100,ENDTIME,LENGTH,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,withinwt
NIG0586,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,2,1,1,1,11/7/2012,12:53:00,67,635, ,1,1,4,3,3,4,5,2,0,0,0,2,0,0,0,0,0,7,7, ,1, ,4,3,2,0,1,1,1,2,3,4,4,1,3,4,3,2,4,2,0,0,0,0,0,0,1,4,9,9,0,0,0,0,0,0,0,2,1,3,3,1,2,1,1,1,2,2,3,1,3,3,4,2,6,7,5,10,99,7,7,4,8,5,5,5,1,4,2,9,1,0,0,0,2,3,0,1,0,1,9,0,0,0,0,0,1,1,1,1,1,9,1,1,9,3,3,1,1,9,1,9,9,1,9,9,1,9,9,0,0,0,0,7,0,0,0,20, ,14, ,13, ,2,3,1,3,1,1,3,3,3,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,3,4,3,3,7,7,7,7,7,7,0,0,0,0,0,0,0,0,7,3,1,1,9,3,3,3,3,1,0,0,7,7,0,9,4,9,9,9,9999, ,9,9,9,3,9,9,9,3,3,3,3,2,3,9,9,4,3,3,4,634, ,1,3,5,1,0,1,1,1,0,0,3,3,1,0,9997, ,1,1,1,0,0,1,4,1,0,2,1,1,1,4,9, ,3,4,9999, ,10,13:57:00,64,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG13,22,2,2,633, ,5,.83934
NIG0587,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,2,1,5,1,11/7/2012,13:30:00,25,1, ,1,4,4,1,1,4,5,1,0,0,0,0,0,0,0,0,0,7,5, ,620,ARMY,0,4,4,4,3,2,1,4,4,4,4,4,4,4,1,4,4,2,2,0,4,3,1,0,2,4,1,1,1,1,1,0,0,0,0,1,1,1,1,1,4,1,4,4,1,4,4,1,2,1,1,2,0,0,0,1,5,9,5,2,6,5,5,2,1,1,1,1,3,3,2,2,1,2,0,3,3,3,3,3,3,3,2,2,2,1,0,0,0,1,1,0,0,1,0,2,0,3,1,3,3,3,3,1,3,3,3,7,7,7,7,7,9,0,0,1, ,2, ,3, ,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,1,1,1,1,3,1,1,2,0,0,0,7,7,0,4,4,4,1,1,3, ,4,0,1,1,1,1,4,4,4,1,1,1,1,3,3,1,1,2,1,9995,ABAM,2,4,5,1,1,1,0,1,1,0,1,1,1,0,9997, ,0,1,0,4,4,1,4,4,1,8,2,1,1,5,13, ,2,4,621, ,999,14:15:00,45,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG15,20,2,2,633, ,5,.83934
NIG0588,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,2,1,3,1,11/7/2012,11:51:00,18,9995,OLUKUMI,1,1,4,5,5,1,9,1,0,0,0,0,2,2,0,0,1,0,5, ,1, ,3,4,2,3,3,2,1,2,1,1,4,3,2,1,4,1,1,2,0,4,4,0,3,0,8,1,1,1,0,1,0,0,0,0,1,1,1,1,3,4,4,4,3,4,1,2,4,2,1,1,2,4,3,7,5,9,99,9,8,99,8,1,5,5,1,1,1,2,3,2,0,0,3,0,0,2,3,2,2,0,2,3,0,0,2,2,0,0,1,1,0,0,1,1,3,3,0,3,3,2,1,0,1,1,3,3,1,0,0,0,0,0,0,0,0,7, ,1, ,1,PRICE OF FOOD STUFFS,3,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,3,2,3,1,0,3,0,3,0,3,0,0,0,0,3,0,1,0,7,1,1,2,1,2,1,0,2,0,1,0,7,7,2,3,4,3,1,2,4, ,2,1,4,4,3,2,4,3,4,2,1,2,3,5,1,1,1,2,1,9995,OLUKUMI,1,5,1,1,0,1,1,0,0,0,3,1,2,1,621, ,1,1,0,4,4,1,3,3,0,3,2,1,0,5,9, ,3,4,621, ,21,13:00:00,69,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG16,25,1,2,633, ,6,.83934
NIG0589,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,1,2,3,1,11/7/2012,14:15:00,19,1, ,2,4,3,4,4,2,4,1,0,0,0,0,0,4,3,0,0,7,9995,THEY MIGHT BE IMPLICATED,8, ,4,3,0,0,0,0,4,2,2,2,3,2,3,2,4,1,4,2,0,1,1,0,0,0,0,3,8,8,0,0,0,0,0,0,0,1,1,1,2,1,1,1,4,4,3,1,4,2,2,2,2,1,0,1,2,9,5,6,4,3,8,4,2,4,1,2,1,2,1,2,2,2,0,3,3,3,3,2,2,2,2,2,2,2,4,1,0,0,0,1,1,1,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,7,7,7,7,7,9,0,0,1, ,11, ,23, ,0,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,1,1,1,1,0,0,3,2,0,0,0,7,7,0,3,4,4,1,1,8, ,1,9,1,1,1,1,2,4,4,1,1,3,3,4,4,9,1,2,1,9995,ABRIMIBA,0,3,5,0,1,1,1,0,1,0,1,0,0,0,9997, ,0,0,0,0,0,0,0,0,0,3,2,1,0,4,13, ,3,4,621, ,999,15:00:00,45,2,1, ,623, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG14,25,1,2,633, ,5,.83934
NIG0590,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/7/2012,11:48:00,35,9995,UKWALE,5,5,4,2,2,5,5,2,0,0,0,0,0,0,0,0,0,7,9999, ,8, ,0,0,0,0,0,0,4,3,4,4,4,3,2,1,2,1,4,0,0,1,0,0,0,0,5,3,3,9,0,1,0,0,0,0,0,2,2,1,3,1,1,2,3,4,2,3,3,4,4,4,1,2,5,99,99,10,99,10,99,99,99,5,5,5,1,1,2,1,0,0,0,0,2,0,0,3,0,0,3,3,0,0,0,0,2,2,1,1,9,9,1,1,1,3,3,1,1,1,1,1,1,2,9,1,2,2,1,0,0,0,0,7,0,1,1,3, ,8, ,9996, ,2,1,1,3,3,3,3,3,3,4,3,1,1,1,4,4,3,3,3,3,4,3,3,3,2,2,5,4,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,3,3,3,3,0,2,1,1,1,1,9,7,9,0,9,9,9,2,9,9999, ,4,9,3,9,1,9,1,1,3,3,1,9,9,9,9,9,2,2,2,9995,UKWALE,1,1,4,0,0,1,0,0,0,0,1,1,0,0,9997, ,0,1,0,0,0,0,0,0,0,2,2,2,3,5,13, ,2,3,9997, ,999,12:45:00,57,2,1, ,623, ,5,1,3,0,0,0,0,0,4,1,1,1,1,1,1,NIG13,22,2,2,633, ,5,.83934
NIG0591,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/7/2012,11:55:00,38,646,OKPE,1,1,1,1,1,5,5,1,0,4,4,4,4,4,0,0,0,7,6, ,1, ,0,0,0,0,0,0,1,4,4,4,4,1,4,1,1,1,4,2,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,5,3,2,1,2,2,2,2,4,3,1,4,2,2,1,3,3,0,2,0,10,99,10,5,2,10,5,4,4,1,1,1,2,1,2,1,1,2,3,3,3,2,2,3,3,2,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,9,0,0,3, ,14, ,11, ,2,3,1,1,1,1,3,3,1,1,1,3,3,3,1,1,3,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,0,3,3,3,3,0,1,0,7,1,1,1,1,2,1,3,3,0,0,0,7,7,0,3,4,4,2,2,1, ,1,9,2,1,1,2,1,4,4,1,1,3,3,4,4,1,1,1,4,9995,ENUME,0,3,5,1,1,1,0,0,0,1,3,3,3,0,9997, ,1,1,0,0,0,1,4,1,0,2,2,2,1,3,13, ,2,4,9997, ,1,12:50:00,55,2,1, ,623, ,4,1,3,0,0,0,0,0,4,1,1,1,1,1,1,NIG15,20,2,2,633, ,5,.83934
NIG0592,1,629,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/7/2012,13:27:00,35,632, ,4,4,4,2,2,4,5,2,2,0,0,0,0,2,1,0,0,7,5, ,13,GOD,4,4,0,0,0,1,1,4,4,4,1,1,4,4,3,2,4,0,0,1,3,0,1,0,1,4,9,9,0,0,0,2,0,0,0,1,4,1,9,3,2,4,5,4,1,5,3,1,3,2,2,3,5,8,10,99,99,0,99,99,99,4,4,4,1,2,5,2,3,0,1,0,3,0,1,2,2,3,2,2,2,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,3,3,3,0,0,0,0,7,0,1,0,3, ,16, ,13, ,2,1,1,3,1,2,3,3,3,3,1,1,3,3,3,3,3,1,3,3,1,2,2,2,2,1,5,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,1,2,1,1,1,0,1,1,1,1,0,7,1,0,2,2,3,2,2,3,NO JOB,1,9,4,4,1,2,2,1,2,3,3,9,4,9,2,9,1,2,2,631, ,1,3,5,1,1,1,0,0,0,0,1,1,1,1,638, ,1,1,0,0,0,1,3,2,0,4,1,1,3,5,13, ,1,9,638, ,999,14:30:00,63,2,1, ,623, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG16,25,1,2,633, ,6,.83934
NIG0593,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,2,1,11/5/2012,15:05:00,22,635, ,4,5,4,4,5,4,5,2,4,4,4,4,4,2,0,0,0,7,8,SELF CONCIOUSNESS,9999, ,4,4,0,3,2,1,4,3,4,4,4,1,4,4,3,1,4,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,5,1,3,1,1,3,4,4,4,1,4,1,3,2,1,3,8,8,8,5,4,4,4,10,4,5,5,5,1,1,1,2,2,2,2,2,0,2,2,2,0,2,2,2,3,3,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,9,9,9,9,9,9,9,9,13, ,620,REDUCE FUEL PRICE,1,PRICE INCREASE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,1,2,2,0,1,3,2,1,2,3,0,0,7,4,4,4,4,3,3,3,3,0,0,0,0,0,9,3,3,3,3,3,6, ,1,1,4,3,4,1,1,1,1,1,1,4,4,2,1,4,4,3,3,634, ,3,3,5,1,0,1,0,1,1,9,3,3,3,1,638, ,1,1,1,3,3,1,4,3,0,2,2,2,3,8,13, ,3,4,638, ,1,16:07:00,62,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG16,25,1,2,633, ,6,.725085
NIG0594,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,2,1,11/5/2012,16:45:00,29,635, ,1,2,5,1,4,4,4,1,1,4,1,1,2,2,2,0,0,7,620,THEY COULD DETAIN YOU IN THE STATION,1, ,3,3,2,0,1,2,4,2,2,3,1,1,1,4,1,1,1,1,3,2,4,4,2,0,6,4,4,4,1,1,1,0,0,0,0,5,5,5,3,4,1,4,2,4,2,3,4,1,3,3,3,3,5,6,4,9,99,99,99,99,99,5,5,5,1,1,4,2,2,0,0,0,2,2,1,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,1,0,0,3, ,13, ,16, ,2,1,1,1,1,1,2,3,3,2,1,2,2,3,2,2,3,1,1,2,2,2,3,3,3,1,4,3,0,0,1,0,0,2,0,0,0,1,1,2,1,0,7,1,1,1,2,1,1,2,2,1,1,0,7,7,0,4,4,4,1,3,3, ,2,1,4,3,3,2,1,1,1,1,2,1,1,4,4,2,1,2,3,634, ,1,3,5,1,1,1,1,1,1,0,2,1,1,1,638, ,1,1,9,0,0,1,4,2,0,2,2,2,1,5,13, ,3,4,638, ,1,17:58:00,73,1,1, ,1, ,5,1,3,0,0,0,0,0,4,1,1,1,1,1,1,NIG15,20,2,2,633, ,5,.725085
NIG0595,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,5,1,11/5/2012,16:30:00,34,632, ,1,1,2,1,1,1,5,1,2,4,2,2,1,2,4,2,1,0,2, ,1, ,3,3,0,1,1,1,1,4,4,4,2,3,1,3,4,1,4,2,2,3,2,4,2,0,1,4,1,1,1,1,1,0,0,2,2,1,2,2,2,2,3,2,1,2,1,2,2,1,2,1,4,3,1,2,1,2,5,10,10,3,6,5,5,5,2,2,4,2,1,2,3,3,1,2,1,2,3,2,1,2,2,2,2,2,4,4,1,0,0,1,0,0,1,3,1,3,0,1,1,3,1,1,1,3,3,3,3,0,0,3,1,9,3,0,0,9995,CREATION OF MORE STATES,20, ,18, ,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,9,1,7,7,7,7,7,7,1,2,2,0,2,1,0,9,7,3,2,2,1,2,0,2,1,0,0,1,7,7,3,3,3,3,3,2,9999, ,2,9,2,4,3,2,1,1,1,2,2,3,2,3,2,3,2,3,1,631, ,1,3,4,1,0,1,1,0,1,0,1,0,0,1,638, ,1,1,0,0,0,1,3,2,0,4,3,3,1,5,5, ,3,4,9999, ,999,17:33:00,63,1,1, ,1, ,5,1,4,0,0,0,0,0,4,1,1,1,1,2,1,NIG13,22,2,2,633, ,5,.725085
NIG0596,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,4,1,11/5/2012,15:17:00,66,635, ,1,1,4,4,1,4,4,2,0,0,0,3,0,1,0,2,0,0,8, ,1, ,1,1,0,0,3,1,2,4,2,4,1,2,2,1,3,4,4,2,0,3,2,1,1,1,1,1,2,2,0,1,0,0,0,0,3,4,1,2,3,2,1,2,1,2,3,2,3,4,2,3,2,1,3,4,4,3,1,99,99,99,99,4,4,2,1,1,2,1,2,3,2,2,3,2,1,2,3,2,1,2,2,3,3,2,4,4,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,1,1,0,0,0,1,0,0,0,16, ,17, ,20, ,9,3,3,3,3,1,4,3,3,1,1,1,4,9,3,3,1,2,3,3,3,4,2,1,1,3,3,3,1,2,2,2,1,2,1,2,1,2,3,3,0,0,7,1,1,2,2,0,1,3,3,0,0,0,7,7,0,9,9,9,3,3,3,WE ARE SUFFERING,9,9,4,1,1,1,4,1,1,3,3,4,4,2,2,4,4,4,1,634, ,1,3,5,0,0,0,0,0,1,0,1,1,0,1,638, ,1,1,0,0,0,1,4,0,0,4,2,2,9,3,5, ,3,3,638, ,0,16:20:00,63,1,1, ,1, ,5,1,4,0,0,0,0,0,4,1,1,1,1,2,1,NIG14,25,1,2,633, ,5,.725085
NIG0597,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,4,1,11/5/2012,15:12:00,19,635, ,1,1,4,2,4,4,9,1,3,4,4,3,3,0,0,3,2,0,5, ,13,GOD,0,1,0,0,0,0,2,4,4,1,2,2,1,4,3,1,4,2,0,1,4,0,1,0,7,9,9,9,0,0,0,0,0,0,0,4,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,1,3,2,3,8,10,8,7,8,4,2,4,3,4,4,2,3,2,3,3,2,9,9,1,2,3,2,2,2,3,3,2,3,4,0,0,0,1,0,0,3,0,3,3,1,1,1,1,3,3,1,1,1,1,1,0,0,0,0,1,9,0,0,3, ,13, ,16, ,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,3,9,2,1,3,4,0,0,1,3,1,2,1,2,2,2,1,2,0,9,7,1,2,2,2,0,3,0,1,0,0,0,7,7,9,3,3,4,2,2,1, ,1,9,3,3,1,2,1,2,1,2,1,9,3,9,2,9,3,2,1,634, ,3,3,4,0,0,1,1,0,1,0,3,0,0,1,631, ,1,1,0,0,0,1,4,2,0,99,3,3,1,5,13, ,3,3,631, ,1,16:10:00,58,2,1, ,1, ,5,1,4,0,0,0,0,0,4,1,1,1,1,3,1,NIG13,22,2,2,633, ,5,.725085
NIG0598,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,4,1,11/5/2012,16:20:00,24,635, ,2,2,3,2,4,4,4,1,1,2,2,4,3,3,0,3,0,0,6, ,1, ,4,4,3,3,3,1,4,1,3,2,3,4,1,4,4,1,4,0,0,2,4,1,0,0,1,4,4,4,1,1,1,0,0,0,0,1,5,5,3,3,1,4,4,4,1,1,1,1,3,1,1,3,3,6,4,10,5,10,6,4,10,5,5,5,1,1,1,2,3,0,3,0,0,1,0,2,3,1,0,0,2,1,3,3,2,3,0,0,1,2,3,2,3,3,2,3,0,1,2,3,1,2,3,3,1,1,3,0,3,0,0,0,0,1,0,13, ,14, ,3, ,3,2,1,2,2,2,3,1,2,1,1,1,2,2,4,4,4,3,2,3,2,2,3,1,1,1,1,1,0,2,2,3,3,3,1,2,3,0,0,0,0,0,7,1,4,4,1,2,3,2,0,1,1,0,7,7,1,4,4,4,2,3,3, ,1,0,4,4,3,4,4,4,4,2,1,4,1,4,4,1,1,3,3,634, ,2,1,5,1,0,1,1,1,1,0,2,0,1,0,9997, ,1,1,0,3,3,1,4,4,0,4,2,3,1,5,1, ,2,4,631, ,1,17:25:00,65,2,1, ,1, ,3,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG16,25,1,2,633, ,6,.725085
NIG0599,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/5/2012,15:15:00,36,635, ,1,1,2,2,5,2,3,1,4,4,0,1,2,0,0,0,0,7,6, ,4, ,1,0,0,0,0,0,4,1,4,4,3,9,3,4,1,2,4,2,0,1,1,3,1,1,1,3,3,3,0,0,0,0,0,0,0,1,1,1,1,3,4,9,4,4,4,4,3,2,2,1,1,3,0,2,4,7,99,99,99,99,99,2,2,2,1,4,4,1,1,1,1,3,3,3,3,3,1,1,0,1,1,1,1,1,2,1,2,2,1,0,1,0,0,0,2,1,0,1,1,9,9,1,9,9,1,1,1,0,0,0,0,0,0,0,0,13, ,16, ,18, ,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,3,1,1,1,1,2,3,2,2,2,3,3,0,0,2,2,0,2,0,2,0,2,0,0,9,9,7,1,1,1,1,9,9,9,9,1,1,0,7,7,0,4,4,4,1,2,3, ,2,1,4,3,1,2,1,1,1,1,2,9,9,9,9,9,2,2,3,634, ,1,3,5,1,0,1,0,0,1,0,0,1,1,0,9997, ,0,0,0,0,0,2,3,0,0,1,3,3,1,5,1, ,3,4,631, ,995,16:26:00,71,2,1, ,623, ,3,1,3,0,0,0,0,0,4,1,1,1,1,1,1,NIG15,20,2,2,633, ,5,.725085
NIG0600,1,629,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,3,1,11/5/2012,16:28:00,19,635, ,1,4,3,2,2,4,4,1,3,3,2,3,3,0,0,0,0,7,3, ,1, ,4,3,0,0,3,2,2,3,3,3,1,2,2,2,4,1,4,2,9,2,3,0,1,1,1,3,1,1,1,1,1,0,0,0,0,1,1,1,3,2,3,4,1,4,2,3,3,1,2,1,4,3,3,2,5,8,10,10,7,3,7,5,2,4,1,1,1,2,3,2,3,2,2,0,1,2,3,2,2,1,1,2,2,2,2,4,0,1,3,0,1,0,3,0,3,3,0,1,1,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0,3, ,13, ,14, ,2,1,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,1,2,3,2,2,3,1,1,9,3,7,7,7,7,7,7,2,1,2,2,3,2,1,9,7,3,3,3,1,1,0,2,3,0,0,0,0,0,3,9,9,7,3,2,5, ,3,9,3,4,4,3,3,1,1,2,3,3,3,2,1,3,4,5,2,634, ,3,3,4,1,0,0,1,1,0,0,1,1,0,1,631, ,1,1,0,0,0,1,3,3,0,3,2,2,3,5,5, ,3,3,631, ,995,17:30:00,62,2,1, ,1, ,5,1,3,0,0,0,0,0,4,1,1,1,1,2,1,NIG14,25,1,2,633, ,5,.725085
NIG0601,1,629,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,2,1,1,1,11/5/2012,11:49:00,23,9995,AUCHI,3,3,4,4,4,2,4,2,0,0,0,0,1,2,0,0,0,7,5, ,8, ,2,3,2,0,1,1,1,4,4,2,4,2,1,4,4,2,4,0,0,0,0,0,0,0,7,3,1,3,0,1,0,0,0,0,0,1,1,2,3,2,3,2,4,4,2,2,3,1,2,2,3,2,5,8,8,10,6,7,6,99,9,2,5,2,2,2,4,1,3,1,1,2,1,0,2,2,2,2,1,2,1,1,1,3,1,1,1,1,2,0,0,2,1,0,1,1,0,1,1,3,3,1,1,1,1,1,1,1,0,0,0,7,0,0,0,13, ,3, ,11, ,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,3,4,1,1,1,1,1,1,2,2,2,5,1,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,1,1,1,0,3,1,0,0,0,1,7,7,0,4,4,3,2,3,1,THE SYSTEM IS BAD,3,1,2,2,1,3,4,4,4,3,1,9,4,3,4,2,4,3,3,9995,AUCHI,0,3,5,1,1,1,0,1,1,0,1,1,1,0,9997, ,1,1,1,2,2,1,1,4,0,5,1,1,1,5,13, ,2,4,621, ,1,12:39:00,50,1,1, ,1, ,4,1,3,0,0,0,0,0,4,1,1,1,1,1,1,NIG13,22,2,2,633, ,5,.771226
NIG0602,1,629,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,997,997,997,997,997,997,997,2,1,1,1,11/5/2012,10:30:00,39,635, ,1,1,2,1,2,2,2,1,0,0,3,0,0,4,4,0,1,0,6, ,0,NO ONE,0,3,4,4,0,2,5,4,4,4,4,4,1,5,4,1,4,2,3,4,4,1,2,0,1,1,1,1,0,1,0,0,0,2,0,1,1,1,3,4,1,4,1,1,1,1,4,1,2,1,2,1,1,1,0,10,0,5,3,1,7,1,5,5,1,1,1,2,2,2,2,3,2,3,0,0,3,3,3,3,3,0,1,1,1,1,1,1,2,3,0,0,0,0,0,0,0,3,3,3,3,3,1,1,3,3,3,0,2,2,7,0,0,0,0,24, ,3, ,23, ,0,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,7,7,7,7,7,7,3,3,3,3,3,3,0,0,7,1,1,1,1,3,0,1,3,1,1,1,7,7,2,4,4,1,2,3,6, ,1,0,4,2,1,1,4,4,4,1,3,1,3,4,4,4,5,2,1,634, ,3,3,3,1,1,1,1,1,0,1,3,3,3,0,9997, ,1,1,1,4,4,1,4,4,0,1,2,1,0,8,1, ,7,4,621, ,23,11:30:00,60,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG14,25,1,2,633, ,5,.771226
